[199   0   0   0   0]
[  0   0   1   0 171]
[  0   0  19  20 326]
[  0   1  30 150 240]
[  0   4  23 150 271]
[  0   5  24  74 286]
[ 0  0  2  1 65]
[  0   2   8  12 182]
[  1   1   6   0 159]
[  1   1   0  15 118]
[ 0  0  0  0 48]
[  1   0   0   3 121]
[ 0  0  0  0 37]
[ 0  0  0 11 88]
[  8   0   1   0 114]
[ 0  4  6 74 58]
[  4   1   1  13 136]
[ 0  0  0  1 48]
[ 0  0  0  0 40]
[ 0  0  0  0 30]
[ 3  5  7 13 97]
[ 0  0 14  1 45]
[ 0  0  0 14 52]
[ 0  0  0  0 32]
[ 0  0  0  0 31]
[ 0  0  0  3 64]
[  1   0   5  17 104]
[ 0  0  2  2 85]
[ 0  3  1 20 87]
[  0   0  29 126  21]
[  8   1   5  26 138]
[ 0  0  0  1 48]
[ 0  0  3 11 91]
[ 0  0  1 33 83]
[ 1  1  5 64 91]
[ 0  1  3  2 86]
[ 0  0  0  4 48]
[ 11   2   1   3 103]
[ 1  8  2 12 81]
[ 0  0  0  0 27]
[47 24  0  0  2]
[ 7  0  3  2 93]
[  4   9  26  45 172]
[ 0  0  2 39 63]
[ 0  0  0  0 31]
[ 2  0  1  2 70]
[ 0  0  6 14 78]
[ 1  0  5  7 49]
[ 1  2  1 13 90]
[ 6  0  9 99 43]
[ 0  0  0  0 41]
[ 0  0  0  0 25]
[ 1  0 12 19 94]
[ 0  2 11 49 87]
[ 0  0  0  7 30]
[ 2  0  2 17 84]
[ 0  0 10 10 57]
[ 0  0  0  1 26]
[ 0  0  0 15 40]
[ 0  0  0  0 38]
[ 0  0  0  0 24]
[ 6  0  0  0 29]
[ 6  0  0  1 56]
[ 6  5  0 16 91]
[ 0  0  0  0 23]
[ 0  0  6 10 76]
[ 6  0  3 14 91]
[ 0  0  0  2 31]
[ 0  4  6 27 76]
[ 0  0  0  1 26]
[ 9  0 24 15 18]
[ 0  5  1 14 28]
[ 0  0  0 28  1]
[ 1  1  2  7 77]
[ 1  0  2 22 57]
[ 0  0  0  6 34]
[ 0  0  0  0 19]
[ 0  0  0  0 19]
[ 0  0  0 14 14]
[ 0  0  0  0 26]
[ 0  3  4 42 64]
[ 0  0  0  1 22]
[ 0  0  1  0 28]
[67 32 18 15 11]
[ 0  8 11 23 91]
[ 0  0  0  8 39]
[ 0  0  0  0 18]
[13  7  6 50 20]
[ 0  0  9  0 18]
[ 0  0  0  2 27]
[ 0  0  0  0 25]
[ 4  0  0 28  0]
[  6   8  10  19 107]
[ 0  0  0  0 35]
[ 0  5  0  0 25]
